Address,Price $,Type,Size m2,Bedrooms,Bathrooms
"Koura, Koura
                    , North",150000,Apartment,270,3,3
"Hboub, Jbeil
                    , Mount Lebanon",192000,Apartment,175,3,3
"Hboub, Jbeil
                    , Mount Lebanon",123000,Apartment,112,2,2
"Halat, Jbeil
                    , Mount Lebanon",3700000,House/Villa,437,2,6
"Qortada, El Metn
                    , Mount Lebanon",215000,Land,530,N/A,N/A
"Mansourieh, El Metn
                    , Mount Lebanon",250000,Apartment,195,3,3
"Mansourieh, El Metn
                    , Mount Lebanon",200000,Apartment,190,3,3
"Fanar, El Metn
                    , Mount Lebanon",450000,Apartment,400,4,4
"Sawfar, Aley
                    , Mount Lebanon",85000,Apartment,140,2,3
"Biyada, El Metn
                    , Mount Lebanon",650000,Apartment,240,3,3
"Jal el Dib, El Metn
                    , Mount Lebanon",95000,Apartment,95,2,2
"Jounieh, Kesrouane
                    , Mount Lebanon",275000,Office,140,3,N/A
"Achrafieh, Beirut
                    , Beirut",1150000,Apartment,300,3,3
"Achrafieh, Beirut
                    , Beirut",1700000,Shop,386,2,N/A
"Kaslik, Kesrouane
                    , Mount Lebanon",265000,Office,110,2,N/A
"kfarhbeib, Kesrouane
                    , Mount Lebanon",700000,Apartment,500,4,4
"Ehden, Zgharta
                    , North",200000,Apartment,250,3,4
"Achrafieh, Beirut
                    , Beirut",280000,Apartment,75,1,1
"Achrafieh, Beirut
                    , Beirut",70000,Shop,22,1,N/A
"Adonis, Kesrouane
                    , Mount Lebanon",140000,Shop,75,1,N/A
"Achrafieh, Beirut
                    , Beirut",1170000,Apartment,234,3,4
"Achrafieh, Beirut
                    , Beirut",363000,Apartment,117,2,2
"Beit Meri, El Metn
                    , Mount Lebanon",500000,Apartment,223,3,4
"Beit Meri, El Metn
                    , Mount Lebanon",720000,Apartment,350,4,6
"Aatchane, El Metn
                    , Mount Lebanon",290000,Apartment,170,3,3
"Jbeil, Jbeil
                    , Mount Lebanon",75000,Apartment,120,2,2
"Dekweneh, El Metn
                    , Mount Lebanon",180000,Shop,120,1,N/A
"Mar Mikhael, Beirut
                    , Beirut",475000,Apartment,113,2,2
"Mar Mikhael, Beirut
                    , Beirut",430000,Apartment,113,2,2
"Mansourieh, El Metn
                    , Mount Lebanon",250000,Shop,400,2,N/A
"Aoukar, El Metn
                    , Mount Lebanon",990000,Apartment,230,3,4
"Ehden, Zgharta
                    , North",156000,Apartment,142,3,N/A
"Kfarzebian, Kesrouane
                    , Mount Lebanon",350000,Chalet,120,2,1
"Ras Beirut, Beirut
                    , Beirut",550000,Apartment,240,3,2
"Ras Beirut, Beirut
                    , Beirut",95000,Shop,80,1,N/A
