Address,Price,Type,Size,Bedrooms,Bathrooms
"Koura, Koura
                    , North","$150,000",Apartment,270 m²,3,3
"Hboub, Jbeil
                    , Mount Lebanon","$192,000",Apartment,175 m²,3,3
"Hboub, Jbeil
                    , Mount Lebanon","$123,000",Apartment,112 m²,2,2
"Halat, Jbeil
                    , Mount Lebanon","$3,700,000",House/Villa,437 m²,2,6
"Qortada, El Metn
                    , Mount Lebanon","$215,000",Land,530 m²,N/A,N/A
"Mansourieh, El Metn
                    , Mount Lebanon","$250,000",Apartment,195 m²,3,3
"Mansourieh, El Metn
                    , Mount Lebanon","$200,000",Apartment,190 m²,3,3
"Fanar, El Metn
                    , Mount Lebanon","$450,000",Apartment,400 m²,4,4
"Sawfar, Aley
                    , Mount Lebanon","$85,000",Apartment,140 m²,2,3
"Biyada, El Metn
                    , Mount Lebanon","$650,000",Apartment,240 m²,3,3
"Jal el Dib, El Metn
                    , Mount Lebanon","$95,000",Apartment,95 m²,2,2
"Jounieh, Kesrouane
                    , Mount Lebanon","$275,000",Office,140 m²,3,N/A
"Achrafieh, Beirut
                    , Beirut","$1,150,000",Apartment,300 m²,3,3
"Achrafieh, Beirut
                    , Beirut","$1,700,000",Shop,386 m²,2,N/A
"Kaslik, Kesrouane
                    , Mount Lebanon","$265,000",Office,110 m²,2,N/A
"kfarhbeib, Kesrouane
                    , Mount Lebanon","$700,000",Apartment,500 m²,4,4
"Ehden, Zgharta
                    , North","$200,000",Apartment,250 m²,3,4
"Achrafieh, Beirut
                    , Beirut","$280,000",Apartment,75 m²,1,1
"Achrafieh, Beirut
                    , Beirut","$70,000",Shop,22 m²,1,N/A
"Adonis, Kesrouane
                    , Mount Lebanon","$140,000",Shop,75 m²,1,N/A
"Achrafieh, Beirut
                    , Beirut","$1,170,000",Apartment,234 m²,3,4
"Achrafieh, Beirut
                    , Beirut","$363,000",Apartment,117 m²,2,2
"Beit Meri, El Metn
                    , Mount Lebanon","$500,000",Apartment,223 m²,3,4
"Beit Meri, El Metn
                    , Mount Lebanon","$720,000",Apartment,350 m²,4,6
"Aatchane, El Metn
                    , Mount Lebanon","$290,000",Apartment,170 m²,3,3
"Jbeil, Jbeil
                    , Mount Lebanon","$75,000",Apartment,120 m²,2,2
"Dekweneh, El Metn
                    , Mount Lebanon","$180,000",Shop,120 m²,1,N/A
"Mar Mikhael, Beirut
                    , Beirut","$475,000",Apartment,113 m²,2,2
"Mar Mikhael, Beirut
                    , Beirut","$430,000",Apartment,113 m²,2,2
