City,Avg Price $,Median Price $,Max Price $,Min Price $,Listings Count
Aabeidat,203750,195000,300000,125000,4
Aabrine,203333,250000,280000,80000,3
Aalmat El Janoubiyeh,40000,40000,40000,40000,1
Aamchit,436653,207500,2000000,69000,26
Aannaya,250133,160000,900000,82000,15
Aaoukar,327449,223499,1200000,85000,20
Aaraiya,337499,337499,389999,285000,2
Aatchane,158999,170000,210000,95000,5
Aayoun El Siman,2499999,2499999,2499999,2499999,1
Aayroun,900000,900000,900000,900000,1
Abediyeh,837500,837500,1500000,175000,2
Abou Samra,86666,85000,100000,75000,3
Achkout,301428,250000,600000,95000,7
Achrafieh,809018,550000,10900000,100000,778
Adlieh,363749,363749,500000,227499,2
Adma,681472,399999,5550000,600,52
Adonis,163906,140000,330000,54999,16
Aicha Bakkar,329000,310000,390000,310000,5
Ain Aalaq,236111,215000,370000,124999,9
Ain Aar,513688,360000,2800000,130000,45
Ain Al Remmane,234000,270000,325000,130000,5
Ain Alak,1200000,1200000,1200000,1200000,1
Ain Anoub,171400,185000,250000,67000,5
Ain El Remmaneh (Baabda),189272,163499,374999,52000,22
Ain El Rihani,417500,400000,600000,270000,4
Ain El Rihany,205000,220000,260000,135000,3
Ain Kfaa,102500,102500,160000,45000,2
Ain Najem,275000,275000,275000,275000,1
Ain Najm,398124,309999,900000,280000,8
Ain Saadeh,583074,399999,5000000,199999,68
Ain al-Mraiseh,1100766,662500,4900000,338000,30
Ain el Marj,1900000,1900000,1900000,1900000,1
Aintoura,259666,319000,350000,109999,3
Airport area,666250,666250,666250,666250,1
Aitat,1083333,460000,2500000,290000,3
Ajaltoun,468488,245000,3500000,99999,45
Al Jamhour,535000,535000,535000,535000,1
Al Mina,107500,107500,120000,95000,2
Al Nakhle,104666,105000,155000,85000,15
Al Zarif,221666,175000,350000,140000,3
Aley,225000,137500,500000,125000,4
Anfe,708333,600000,1400000,125000,3
Antelias,354020,220000,3105000,65000,49
Aoukar,484800,420000,840000,170000,5
Aramoun,125000,125000,125000,125000,1
Arsoun,650000,650000,650000,650000,1
Ashkout,324999,324999,499999,149999,2
Azmi,100000,100000,125000,75000,2
Azra,333750,345000,500000,145000,4
Baabda,631969,525000,4700000,145000,97
Baabdat,514984,350000,2000000,600,93
Badaro,688818,600000,1800000,350000,33
Bakich,170625,186250,190000,120000,4
Ballouneh,314499,250000,3000000,62999,94
Baouchriyeh,174374,155000,260000,130000,8
