District,Avg Price $,Median Price $,Max Price $,Min Price $,Listings Count,Latitude,Longitude
Akkar,350000,350000,350000,350000,1,34.5394,36.078
Aley,567378,182500,11000000,67000,66,33.8056,35.5978
Baabda,638022,450000,9000000,45000,536,33.8333,35.5442
Batroun,402728,204000,4700000,50000,70,34.2556,35.6586
Beirut,963548,637500,21000000,70000,1390,33.8886,35.4955
Chouf,293333,275000,330000,275000,3,33.6947,35.5792
El Metn,530563,320000,15000000,600,2434,33.9006,35.6178
Jbeil,376430,180000,12000000,26000,333,34.1236,35.6455
Kesrouane,518826,275000,17999999,500,847,33.9808,35.6856
Koura,179611,109000,1400000,83000,36,34.3294,35.7931
Zahle,1243333,800000,2500000,430000,3,33.8461,35.9042
Zgharta,178000,178000,200000,156000,2,34.3314,35.8958
