City,District,Province,Type,Size m2,Bedrooms,Bathrooms,Price $,Latitude,Longitude
Koura,Koura,North,Apartment,270,3,3,150000,34.3294,35.7931
Hboub,Jbeil,Mount Lebanon,Apartment,175,3,3,192000,34.1236,35.6455
Hboub,Jbeil,Mount Lebanon,Apartment,112,2,2,123000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,House/Villa,437,2,6,3700000,34.1236,35.6455
Qortada,El Metn,Mount Lebanon,Land,530,0,0,215000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,195,3,3,250000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,190,3,3,200000,33.9006,35.6178
Fanar,El Metn,Mount Lebanon,Apartment,400,4,4,450000,33.9006,35.6178
Sawfar,Aley,Mount Lebanon,Apartment,140,2,3,85000,33.8056,35.5978
Biyada,El Metn,Mount Lebanon,Apartment,240,3,3,650000,33.9006,35.6178
Jal el Dib,El Metn,Mount Lebanon,Apartment,95,2,2,95000,33.9006,35.6178
Jounieh,Kesrouane,Mount Lebanon,Office,140,3,0,275000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,300,3,3,1150000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Shop,386,2,0,1700000,33.8886,35.4955
Kaslik,Kesrouane,Mount Lebanon,Office,110,2,0,265000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,500,4,4,700000,33.9808,35.6856
Ehden,Zgharta,North,Apartment,250,3,4,200000,34.3314,35.8958
Achrafieh,Beirut,Beirut,Apartment,75,1,1,280000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Shop,22,1,0,70000,33.8886,35.4955
Adonis,Kesrouane,Mount Lebanon,Shop,75,1,0,140000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,234,3,4,1170000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,117,2,2,363000,33.8886,35.4955
Beit Meri,El Metn,Mount Lebanon,Apartment,223,3,4,500000,33.9006,35.6178
Beit Meri,El Metn,Mount Lebanon,Apartment,350,4,6,720000,33.9006,35.6178
Aatchane,El Metn,Mount Lebanon,Apartment,170,3,3,290000,33.9006,35.6178
Jbeil,Jbeil,Mount Lebanon,Apartment,120,2,2,75000,34.1236,35.6455
Dekweneh,El Metn,Mount Lebanon,Shop,120,1,0,180000,33.9006,35.6178
Mar Mikhael,Beirut,Beirut,Apartment,113,2,2,475000,33.8886,35.4955
Mar Mikhael,Beirut,Beirut,Apartment,113,2,2,430000,33.8886,35.4955
Mansourieh,El Metn,Mount Lebanon,Shop,400,2,0,250000,33.9006,35.6178
Aoukar,El Metn,Mount Lebanon,Apartment,230,3,4,990000,33.9006,35.6178
Ehden,Zgharta,North,Apartment,142,3,0,156000,34.3314,35.8958
Kfarzebian,Kesrouane,Mount Lebanon,Chalet,120,2,1,350000,33.9808,35.6856
Ras Beirut,Beirut,Beirut,Apartment,240,3,2,550000,33.8886,35.4955
Ras Beirut,Beirut,Beirut,Shop,80,1,0,95000,33.8886,35.4955
Ain El Rihani,Kesrouane,Mount Lebanon,Apartment,220,3,3,184000,33.9808,35.6856
Ain Saadeh,El Metn,Mount Lebanon,Apartment,250,4,5,625000,33.9006,35.6178
Edde,Jbeil,Mount Lebanon,Apartment,170,3,3,155000,34.1236,35.6455
Dbayeh,El Metn,Mount Lebanon,Apartment,412,4,4,900000,33.9006,35.6178
Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,125,2,2,140000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,210,3,4,290000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,208,3,4,310000,33.9808,35.6856
kfarhbeib,Kesrouane,Mount Lebanon,Apartment,208,3,4,320000,33.9808,35.6856
Hadath,Baabda,Mount Lebanon,Apartment,135,2,2,185000,33.8333,35.5442
Hadath,Baabda,Mount Lebanon,Apartment,174,3,3,130000,33.8333,35.5442
Halat,Jbeil,Mount Lebanon,Apartment,175,3,3,220000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,200,3,3,150000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,200,3,3,180000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,145,3,3,150000,34.1236,35.6455
Hemlaya,El Metn,Mount Lebanon,Land,20,0,0,220000,33.9006,35.6178
Bikfaya,El Metn,Mount Lebanon,Apartment,125,2,2,135000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,House/Villa,400,3,5,620000,33.9006,35.6178
Jeita,Kesrouane,Mount Lebanon,Apartment,155,3,4,330000,33.9808,35.6856
Beit Meri,El Metn,Mount Lebanon,Apartment,170,3,3,275000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,250,3,2,535000,33.8886,35.4955
Jeita,Kesrouane,Mount Lebanon,Apartment,200,3,4,345000,33.9808,35.6856
Jeita,Kesrouane,Mount Lebanon,Apartment,158,3,2,300000,33.9808,35.6856
Jeita,Kesrouane,Mount Lebanon,Apartment,154,3,3,265000,33.9808,35.6856
Hadath,Baabda,Mount Lebanon,Apartment,117,2,2,115000,33.8333,35.5442
Achrafieh,Beirut,Beirut,Apartment,102,2,2,321000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,102,2,2,342000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,75,1,1,251000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,105,2,2,383000,33.8886,35.4955
Baabda,Baabda,Mount Lebanon,Apartment,210,3,3,250000,33.8333,35.5442
Mansourieh,El Metn,Mount Lebanon,Apartment,80,2,2,120000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,230,3,3,460000,33.8886,35.4955
Halat,Jbeil,Mount Lebanon,Apartment,220,3,3,277000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,220,3,3,292000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,270,3,3,351000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,135,2,2,162000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,135,2,2,150000,34.1236,35.6455
Mtayleb,El Metn,Mount Lebanon,Apartment,325,4,2,675000,33.9006,35.6178
Bchamoun,Aley,Mount Lebanon,Apartment,110,2,2,160000,33.8056,35.5978
Aamchit,Jbeil,Mount Lebanon,Apartment,145,3,2,95000,34.1236,35.6455
Zouk Mosbeh,Kesrouane,Mount Lebanon,Chalet,80,2,1,470000,33.9808,35.6856
Badaro,Beirut,Beirut,Shop,79,1,0,150000,33.8886,35.4955
Down Town,Beirut,Beirut,Apartment,223,3,4,1561000,33.8886,35.4955
Jbeil,Jbeil,Mount Lebanon,Apartment,40,1,1,65000,34.1236,35.6455
Achrafieh,Beirut,Beirut,Apartment,130,2,2,350000,33.8886,35.4955
Elissar,El Metn,Mount Lebanon,Apartment,300,4,4,390000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,240,3,3,600000,33.9006,35.6178
Down Town,Beirut,Beirut,Office,150,1,0,900000,33.8886,35.4955
Jbeil,Jbeil,Mount Lebanon,Apartment,150,3,3,195000,34.1236,35.6455
Braij,Jbeil,Mount Lebanon,Land,232,0,0,210000,34.1236,35.6455
Zaarour,El Metn,Mount Lebanon,Land,740,0,0,80000,33.9006,35.6178
Faytroun,Kesrouane,Mount Lebanon,Chalet,110,3,2,170000,33.9808,35.6856
Bsalim,El Metn,Mount Lebanon,Apartment,380,3,5,1800000,33.9006,35.6178
Badaro,Beirut,Beirut,Apartment,225,4,0,680000,33.8886,35.4955
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,185,3,4,351000,33.9808,35.6856
Sahel Alma,Kesrouane,Mount Lebanon,Apartment,370,3,4,525000,33.9808,35.6856
Jeita,Kesrouane,Mount Lebanon,Apartment,280,4,4,330000,33.9808,35.6856
Jeita,Kesrouane,Mount Lebanon,Apartment,230,3,4,290000,33.9808,35.6856
Jeita,Kesrouane,Mount Lebanon,Apartment,400,3,4,390000,33.9808,35.6856
Jeita,Kesrouane,Mount Lebanon,Apartment,400,5,5,400000,33.9808,35.6856
Ballouneh,Kesrouane,Mount Lebanon,Apartment,290,3,3,290000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,75,1,1,230000,33.8886,35.4955
Hadath,Baabda,Mount Lebanon,Apartment,110,2,2,120000,33.8333,35.5442
Ras El Metn,El Metn,Mount Lebanon,Land,300,0,0,175000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,150,3,2,148000,33.9006,35.6178
Mansourieh,El Metn,Mount Lebanon,Apartment,125,2,2,169000,33.9006,35.6178
Halat,Jbeil,Mount Lebanon,Apartment,104,2,2,130000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,143,3,3,178000,34.1236,35.6455
Halat,Jbeil,Mount Lebanon,Apartment,68,1,1,85000,34.1236,35.6455
Ballouneh,Kesrouane,Mount Lebanon,Apartment,212,3,4,360000,33.9808,35.6856
Naccache,El Metn,Mount Lebanon,Land,883,0,0,9000000,33.9006,35.6178
Achrafieh,Beirut,Beirut,Apartment,120,2,2,245000,33.8886,35.4955
Zouk Mikael,Kesrouane,Mount Lebanon,Apartment,120,2,2,110000,33.9808,35.6856
Chwaya,El Metn,Mount Lebanon,Apartment,150,3,2,290000,33.9006,35.6178
Baabdat,El Metn,Mount Lebanon,Apartment,250,3,4,300000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,250,3,5,295000,33.9006,35.6178
Maaysra,Kesrouane,Mount Lebanon,Apartment,200,3,3,160000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,165,3,3,500000,33.8886,35.4955
Blat,Jbeil,Mount Lebanon,House/Villa,850,4,5,2500000,34.1236,35.6455
Nahr Ibrahim,Jbeil,Mount Lebanon,Land,330,0,0,665000,34.1236,35.6455
Fakra,Kesrouane,Mount Lebanon,Chalet,107,3,3,500000,33.9808,35.6856
Beit Chabeb,El Metn,Mount Lebanon,Apartment,300,4,6,330000,33.9006,35.6178
Kfour,Kesrouane,Mount Lebanon,Land,620,0,0,300000,33.9808,35.6856
Hosrayel,Jbeil,Mount Lebanon,Apartment,100,2,2,115000,34.1236,35.6455
Ajaltoun,Kesrouane,Mount Lebanon,Apartment,165,3,3,288000,33.9808,35.6856
Ajaltoun,Kesrouane,Mount Lebanon,Apartment,148,3,3,240000,33.9808,35.6856
Achrafieh,Beirut,Beirut,Apartment,130,2,3,415000,33.8886,35.4955
Badaro,Beirut,Beirut,Apartment,250,3,3,620000,33.8886,35.4955
Badaro,Beirut,Beirut,Apartment,210,3,3,600000,33.8886,35.4955
Jounieh,Kesrouane,Mount Lebanon,Chalet,85,1,2,245000,33.9808,35.6856
Bchamoun,Aley,Mount Lebanon,Apartment,170,3,3,300000,33.8056,35.5978
Sioufi,Beirut,Beirut,Apartment,230,3,4,700000,33.8886,35.4955
Ain Al Remmane,Baabda,Mount Lebanon,Apartment,185,3,4,465000,33.8333,35.5442
Hadath,Baabda,Mount Lebanon,Apartment,110,2,2,137000,33.8333,35.5442
Hazmieh,Baabda,Mount Lebanon,Shop,100,1,0,350000,33.8333,35.5442
Antelias,El Metn,Mount Lebanon,Apartment,948,6,8,3000000,33.9006,35.6178
Bsalim,El Metn,Mount Lebanon,Apartment,180,3,4,325000,33.9006,35.6178
Bikfaya,El Metn,Mount Lebanon,House/Villa,400,4,6,1500000,33.9006,35.6178
Hazmieh,Baabda,Mount Lebanon,Apartment,220,3,4,400000,33.8333,35.5442
Achrafieh,Beirut,Beirut,Office,80,1,0,280000,33.8886,35.4955
Achrafieh,Beirut,Beirut,Apartment,240,3,3,550000,33.8886,35.4955
Dbayeh,El Metn,Mount Lebanon,Apartment,153,3,3,220000,33.9006,35.6178
Ras Beirut,Beirut,Beirut,Apartment,240,3,3,600000,33.8886,35.4955
Dekweneh,El Metn,Mount Lebanon,Apartment,165,3,2,220000,33.9006,35.6178
Hadath,Baabda,Mount Lebanon,Apartment,175,3,3,245000,33.8333,35.5442
Furn El Chebbak,Baabda,Mount Lebanon,Apartment,143,2,2,137000,33.8333,35.5442
